# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2038 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 390671 406496 433042 465157 495803 523375 540935
1 393801 409421 435190 466351 496376 523655 540371
2 396362 411281 436803 467203 496069 522754 539231
3 398865 413397 438132 467814 495860 522018 537646
4 401412 415157 439407 467922 494998 520090 535889
5 404107 417233 440697 468290 494444 518640 533900
6 406416 419080 441735 468368 493367 516720 531199
7 409411 421384 443486 468924 492914 515540 529207
8 411480 423193 444437 468819 491581 513470 526574
9 414032 425639 446008 469277 490867 511704 523981
10 417282 427985 447404 469300 489840 509872 521404
11 421066 430953 449452 470357 489659 508652 519330
12 422842 432607 449945 469357 487661 505286 515251
13 425826 434776 450828 468833 485946 502309 511594
14 428928 437000 451782 468574 484686 499612 508048
15 432075 439343 453196 468642 483557 497314 504652
16 435581 442066 454654 468932 482401 494873 502189
17 439224 445265 456582 469468 481947 493193 500067
18 443242 449194 459314 470960 482365 492358 498352
19 446351 451871 460886 471756 482019 491119 496588
20 473639 478237 485728 494254 502539 510334 514815
21 494233 498875 506946 516101 524982 533168 537921
22 511047 516117 524739 534665 544296 553344 558195
23 530663 536083 545539 556394 566874 576757 582060
24 543267 549132 559337 571306 582775 593793 599470
25 569008 575457 586701 599742 612335 624307 630594
26 582449 589573 601770 616027 629684 642828 649659
27 600158 607801 621106 636627 651434 665634 673047
28 611736 619820 634161 650820 666807 681978 689986
29 620236 628962 644332 662060 679134 695223 703906
30 620333 629510 645774 664462 682414 699671 708792
31 622894 632442 649644 669116 687851 705578 715504
32 620110 630425 648340 668481 687980 706207 716704
33 627091 637934 656381 677097 697167 716039 726799
34 623656 634900 653801 675009 695634 714937 726042
35 620910 632283 651508 673036 694091 713609 725112
36 627764 639173 658718 680276 701488 721120 732957
37 639198 650741 670155 691838 713092 732705 744546
38 635503 646973 666265 687833 709064 728733 740273
39 643521 654402 673743 695090 716248 735626 747071
40 641505 651943 670901 691925 712657 731866 742952
41 641609 651518 670077 690524 710709 729547 740599
42 637436 646866 664962 684758 704046 722676 733004
43 641302 650389 667845 686861 705431 723292 733626
44 650158 658693 675293 693707 711571 728749 738558
45 672281 680176 696316 713775 730765 747220 756540
46 666801 674320 689785 706335 722535 738057 746787
47 676639 683739 698492 714110 729464 744173 752345
48 672143 678838 692744 707563 722038 736016 743701
49 684506 690956 703878 717929 731572 744760 752025
50 668692 674802 686947 700195 713128 725564 732300
51 669966 675741 687154 699616 711857 723577 729915
52 687936 693304 704041 715775 727301 738266 744272
53 696905 701837 712000 723032 733839 744132 749759
54 706108 710760 720302 730743 740918 750567 755824
55 726778 731321 740200 750037 759586 768647 773732
56 729534 733909 742272 751545 760546 769031 773778
57 744753 748950 756866 765646 774083 782151 786550
58 764539 768470 776028 784286 792287 799742 804052
59 801444 805128 812270 820023 827563 834559 838576
60 823606 827232 833975 841307 848460 855037 858802
61 855498 858966 865321 872246 878992 885126 888873
62 890683 894178 900062 906691 913067 918832 922498
63 921657 925191 930682 937090 943092 948550 952018
64 911174 914650 919678 925872 931581 936898 940078
65 914901 918129 922985 928985 934387 939639 942601
66 917669 920700 925335 931137 936389 941392 944314
67 903319 906500 910915 916544 921562 926501 929238
68 920889 924086 928370 933980 938823 943766 946611
69 906709 909952 914184 919691 924399 929139 932071
70 901078 904401 908733 914207 918960 923740 926569
71 899023 902282 906801 912309 917128 921961 924862
72 886307 889558 894222 899937 904883 909736 912410
73 885815 888637 893868 899756 904884 910023 912700
74 819436 822116 827385 833305 838360 843619 846084
75 778793 781359 786812 792918 798051 803455 805926
76 748440 751091 756829 763207 768593 774138 776643
77 709685 712449 718379 724997 730625 736273 738818
78 675528 678424 684471 691543 697600 703393 706126
79 627184 630303 636487 643788 650053 656090 658917
80 600161 603677 610270 618193 624929 631424 634569
81 565507 569135 576137 584594 591854 598724 602072
82 530089 533696 541246 550301 558180 565543 569148
83 495031 498949 507133 516832 525381 533144 537114
84 444278 448402 456796 466871 475857 483804 488007
85 407802 412156 420973 431659 441333 449600 454452
86 374211 378931 388496 399785 410213 419066 424304
87 352602 358190 368558 380800 392403 402096 407988
88 317343 323237 334123 347105 359446 369900 376241
89 291727 297912 309648 323710 337327 348983 355559
90 246336 252738 264437 278322 292236 304076 310432
91 208935 215568 227338 241157 255390 267454 273879
92 133432 138352 147268 157770 168773 177995 183116
93 112203 116851 125725 136145 147242 156776 161569
94 89648 94083 102378 112326 123008 132192 137129
95 68629 72680 80167 89203 99261 107763 112791
96 51605 55222 61901 69930 79104 87280 91892
97 40956 44353 50635 58257 67307 75263 80194
98 28163 30935 36046 42266 49896 56818 61030
99 18440 20572 24506 29345 35503 41176 44786
100 11060 12538 15314 18735 23269 27529 30405
101 6451 7412 9276 11651 14864 18009 20253
102 3878 4525 5825 7509 9878 12263 14024
103 2099 2486 3305 4384 5976 7624 8855
104 1073 1292 1775 2429 3442 4513 5358
105 513 635 899 1277 1881 2551 3080
106 236 298 438 647 996 1400 1717
107 104 135 208 320 515 755 940
108 38 51 81 131 221 337 428
109 14 19 32 53 95 150 196
110 6 9 16 30 58 98 133
