#"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
#"Popolazione per sesso ed età al 1° gennaio 2048 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 347494 366903 398523 438338 476838 514288 535779
1 353723 372981 404024 443520 481538 518206 539214
2 360418 378534 409580 448943 486388 522469 542506
3 366042 384295 415367 454481 491045 526753 546633
4 371684 389584 420485 459087 495240 530171 549395
5 376604 394725 425067 463272 498813 533080 552008
6 381060 399697 429552 467310 502222 536193 554644
7 385357 404142 433414 470246 504989 538104 556270
8 388949 408046 436769 473010 507064 540029 556752
9 392664 411658 439750 475490 508863 541066 558356
10 395956 414586 442266 477234 510033 541433 558629
11 399611 417535 444877 478810 511246 541863 558413
12 402652 419875 446826 480092 511677 541380 557671
13 406165 422542 448574 481195 512072 540766 557114
14 409265 424900 450453 481879 511679 539651 555576
15 412680 427501 452678 482949 511655 538894 554475
16 415627 429970 454695 483924 511658 537766 553076
17 419901 433478 457336 485696 512429 537836 552085
18 423686 436758 459870 487304 513324 537527 550829
19 429038 441233 463574 490155 515192 538377 551785
20 434308 446233 467426 493351 517886 540415 553076
21 440813 451868 473302 498330 522186 544246 555708
22 445691 456820 477836 501868 525118 546806 558076
23 450560 462359 482326 506283 529443 549944 561870
24 456027 467395 487654 511104 534238 554720 566682
25 461480 471984 492512 516120 539020 559660 571884
26 465826 476764 497003 520988 544045 564439 577164
27 469400 480947 501034 525489 549281 570403 581876
28 472258 484449 504853 530073 554622 576652 588276
29 472549 485853 506782 532853 558143 580589 593279
30 494312 507563 530125 556033 581589 604959 619158
31 512885 526733 550168 577331 604118 628435 643159
32 527227 541623 566104 594254 622251 647493 662494
33 543927 559064 584534 613435 642383 668460 683985
34 553789 569325 595303 625183 654727 681926 697879
35 576846 592698 619474 650023 680051 708249 724327
36 587971 603977 631525 662567 693350 721872 738470
37 603630 619600 647905 679374 710680 739587 756613
38 613038 629063 658012 689868 721638 750814 768083
39 619859 636338 665394 697567 729666 758801 776418
40 618468 635138 664142 696652 728762 758107 775719
41 619511 636602 665784 698211 730372 759749 777520
42 616236 633185 662506 694748 726895 756368 773689
43 622968 639385 668751 700753 732448 762181 779423
44 619449 635504 664425 696335 727931 757195 774562
45 616576 632125 660484 692254 723539 752410 769498
46 622646 638312 666267 697530 728389 756646 773449
47 634000 649055 676637 707273 737512 765436 781773
48 630170 644480 671606 701672 731141 758736 774571
49 637656 651718 678049 707375 736224 762756 778535
50 635172 648789 674482 702815 730694 756637 772013
51 634898 647986 672727 700050 726760 752302 767069
52 630409 642733 666609 692977 718600 743523 757205
53 633858 645544 668413 693687 718229 742277 755119
54 641944 653221 674959 699058 722556 745432 757792
55 663104 673824 694420 717436 739830 761543 773402
56 656959 667127 686719 708564 729864 750428 761564
57 665819 675364 694030 714640 734759 754209 764727
58 660404 669447 687001 706519 725579 743807 753673
59 671271 679805 696582 714941 733028 750185 759360
60 654436 662413 678349 695661 712638 728743 737559
61 654278 661746 676727 693134 709028 724134 732658
62 670171 677347 691345 706853 721868 735935 743764
63 677254 683823 697133 711710 725740 738826 746382
64 684442 690430 703074 716875 730141 742337 749579
65 702180 708398 720179 733108 745498 757061 763797
66 702625 708766 719731 731887 743639 754418 760883
67 714789 720754 731022 742529 753600 763712 770080
68 730623 736642 746298 757247 767656 777317 783319
69 762390 768306 777232 787882 797666 806909 812845
70 780190 785484 793822 804156 813363 822449 827760
71 805299 810665 818663 828894 837983 846561 851511
72 833022 838432 846240 856231 864823 873544 878597
73 855513 860807 868801 878762 887242 896073 901030
74 838131 843759 851746 861600 869915 878512 883509
75 833035 838961 846960 856881 865232 873925 879006
76 826133 831943 840125 850324 858881 867801 872480
77 802604 807958 816571 827274 835967 845251 849936
78 805315 810668 820244 831543 840875 850741 855562
79 778283 783623 793926 805764 815685 825631 830489
80 756466 761976 772985 785808 796505 807001 812224
81 734463 740712 752533 766472 778211 789106 795074
82 701499 708191 720949 735928 748579 760376 767209
83 674752 681969 696124 712540 726476 739406 747152
84 597398 604585 618740 635664 650081 663129 671127
85 538607 546092 560891 578475 593805 607547 615987
86 486664 494744 510016 528554 545154 559329 568504
87 429046 437373 453167 472272 489571 504623 513836
88 375329 384023 399741 419557 437497 453031 462926
89 315686 324548 340481 359850 378213 393616 404016
90 269730 278648 295188 314425 333630 349706 360194
91 223359 232496 248494 267525 286926 303449 313850
92 180971 190060 205624 223822 243060 259582 269609
93 144349 152742 167502 184763 203322 219454 229459
94 108440 115987 129376 144720 161897 176636 186315
95 81714 88473 100509 114368 130388 144557 153396
96 60373 66095 76601 89042 103743 117504 125272
97 44853 49914 59303 70349 84063 97101 104634
98 31244 35353 43002 52407 64445 76054 83313
99 21688 25089 31348 39337 49870 60162 67405
100 13518 16017 20590 26705 35086 43433 49505
101 8313 10063 13375 17922 24517 31266 36244
102 3713 4606 6350 8804 12560 16589 19722
103 2138 2698 3870 5581 8328 11370 13817
104 1126 1452 2188 3286 5155 7297 9089
105 547 727 1151 1811 2997 4426 5667
106 253 345 576 954 1675 2586 3391
107 119 167 294 515 962 1569 2112
108 47 67 126 234 467 803 1107
109 17 25 49 98 211 382 545
110 7 12 25 56 135 268 403
