"Ricostruzione della popolazione intercensuaria - Popolazione al 1° Gennaio per età"
"Tutte le cittadinanze - Ripartizione: Nord-Ovest"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Età;Totale
0;129928;134462;136217;142383;141947;145308;146861;149760;149073;145364
1;131251;131037;135199;137554;142508;142492;145818;147376;149633;148640
2;129114;132477;132358;136243;138570;142937;143124;146599;147458;149395
3;126418;130085;133697;133814;137242;139440;143553;144036;147100;147410
4;124758;127409;131023;135429;135177;137711;140334;144083;144296;147246
5;124591;125858;128535;132140;136933;136338;138672;141146;144226;144274
6;122398;125580;126975;130255;133314;138021;137820;139418;141526;144179
7;121560;123317;126533;128489;131788;134245;139548;139127;139775;141930
8;123216;122685;124223;127780;130123;133133;135725;140741;140017;140121
9;125890;124201;123682;125657;129364;131554;134636;137146;141826;140764
10;126634;126870;125172;125343;127125;130674;133193;136169;138098;142758
11;127273;127343;127809;126565;126923;128212;132031;134615;137280;138900
12;124102;127797;127915;129085;128055;128200;129591;133434;135840;138299
13;124984;124613;128318;129137;130636;129169;129699;131062;134584;136928
14;119417;125487;125081;129271;130392;131825;130544;131112;132258;135602
15;121558;119939;125984;126078;130490;131392;133136;132038;132458;133342
16;126658;121897;120382;127078;127420;131472;132479;134652;133475;133639
17;127625;126954;122169;121840;128707;128638;132744;133956;136088;134727
18;132905;128326;127752;124130;124030;130685;130566;134907;135813;137908
19;138211;133353;129618;129369;125792;125839;133481;133558;137299;137903
20;141377;138530;135158;131361;130388;126874;129347;136764;136231;139594
21;145641;141985;141232;137396;132734;131698;130981;133196;139474;138787
22;152458;146641;145550;144489;139116;134639;136362;134978;135974;142585
23;165758;153898;151243;149427;146410;141113;139833;140991;138119;139636
24;177825;167649;159476;155933;151530;148671;146182;144625;144588;141953
25;190802;180083;174168;165334;158477;153745;154254;151155;148540;148961
26;209927;193342;187085;180765;168391;160979;159279;159571;155278;153267
27;220475;212445;200649;194263;184160;170932;166771;164430;163622;159764
28;225714;223561;220569;208348;198640;187523;177161;172199;168285;168352
29;232764;228605;231466;227786;212230;201330;193058;181819;175160;172250
30;237840;235889;236348;239250;231766;215452;207046;198014;184657;178815
31;237995;240248;242358;242313;242468;233713;220032;210540;200165;187400
32;248237;239686;245348;247063;244296;243715;236677;222214;211646;201614
33;245829;250140;244362;249898;248955;245058;246467;238463;222663;212749
34;247720;247873;254350;248491;251509;249466;247155;247981;238758;223757
35;258155;249472;251917;258062;249902;252093;251848;248631;248319;239573
36;258172;260509;254008;256481;259982;251263;255157;254233;249921;249845
37;259233;259708;263842;257596;258005;260832;254302;256976;255105;250915
38;244315;260422;262810;266373;258773;258775;263135;255948;257530;255870
39;234108;245333;263568;265402;266952;259514;261413;264508;256590;258398
40;229925;234800;247891;266067;266251;267357;262098;263110;264850;257293
41;222796;230314;237021;249905;266806;266798;268614;263397;263519;265144
42;217668;223081;232341;238846;250509;267376;267995;269491;263836;264171
43;209416;218050;225156;233947;239447;250735;268788;268892;269630;264117
44;207309;209642;219955;226583;234240;239707;251794;269704;268987;269875
45;205997;207670;211333;221341;226797;234254;240822;252526;269810;269286
46;202541;206125;209315;212674;221718;226787;235226;241389;252445;270092
47;200365;202577;207474;210589;212935;221682;227714;235615;241342;252571
48;196009;200446;203754;208423;210862;212940;222620;228171;235358;241292
49;197359;195832;201337;204428;208545;210942;213743;223125;227826;235316
50;197462;197060;196558;201897;204498;208436;211547;214136;222932;227760
51;208489;197103;197497;196999;201825;204297;208797;211889;213976;222951
52;211147;208023;197349;197618;196774;201426;204490;209009;211711;213875
