"Ricostruzione della popolazione intercensuaria - Popolazione al 1° Gennaio per età"
"Tutte le cittadinanze - Ripartizione: Nord-Est"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Età;Totale
0;95650;98770;99920;105622;105214;106977;108849;110968;109511;108095
1;97110;96729;99631;101261;105983;105769;107892;109603;110832;109294
2;94993;98300;97796;100517;102276;106431;106569;108792;109545;110359
3;92888;96092;99528;99042;101476;102876;107185;107498;108771;109293
4;91549;94056;96966;100562;100265;102053;103861;107946;107612;108666
5;91196;92815;95198;97928;101840;101009;103115;104769;107979;107505
6;88697;92365;94054;96499;99030;102770;102176;103978;105022;107679
7;87962;89827;93372;95151;97780;99930;104078;103302;104273;105125
8;88621;89065;90822;94573;96484;98687;101136;105246;103809;104311
9;91507;89675;90138;91854;95738;97584;100027;102242;105912;104125
10;91359;92416;90672;91637;92968;96680;98890;101362;102788;106476
11;91543;92268;93437;91777;92860;93927;97923;100363;102179;103157
12;88742;92357;93130;94506;93056;93864;95255;99232;101243;102636
13;88266;89543;93171;94205;95745;94027;95314;96619;99956;101912
14;83634;89025;90273;94052;95154;96679;95328;96781;97510;100583
15;85937;84288;89784;91137;95097;95944;97981;96701;97675;98119
16;90123;86460;85101;90669;92404;96022;97093;99391;97822;98446
17;90376;90774;87034;86148;91891;93493;97289;98587;100564;98710
18;92968;91170;91714;88606;88003;93519;95315;99403;100224;101787
19;96766;93804;92568;93048;89971;89680;96045;98008;101284;101714
20;99610;97866;95628;94392;94284;91360;92819;99112;100049;102873
21;103607;100902;100404;97802;95972;95927;94771;96452;101099;101912
22;110195;105491;104070;103307;99631;98055;99911;98678;98836;103414
23;120304;112498;109440;107596;105697;102023;102591;104270;101218;101554
24;127550;123241;117311;113294;110173;108514;106644;107454;107157;103926
25;138209;130727;128609;121714;116206;112910;113680;111702;110378;110306
26;149217;141396;136432;133478;124863;119281;118020;118650;114602;113390
27;161807;152534;147213;141250;136730;127656;124276;122932;121290;117526
28;164405;165165;158432;152606;144821;139921;132967;129179;125325;123903
29;169330;167543;170901;163137;155803;147783;144791;137394;131404;127281
30;173955;172730;172963;175636;166400;158552;152283;149300;139182;133280
31;174092;176732;177444;176765;178152;168327;162322;155970;150628;140064
32;179322;176403;180613;180283;178547;179576;171446;165051;156672;151138
33;177549;181738;179954;183331;181738;179597;182562;173830;165261;156885
34;178318;179901;185059;182411;184532;182737;182151;184630;174091;165411
35;184527;180316;183163;187489;183625;185420;185173;184076;185131;174544
36;185245;186917;183742;186012;189149;184906;188050;187260;184819;185671
37;187212;187035;189397;186209;187400;190250;187387;189913;187826;185457
38;176968;188768;189346;191099;187436;188280;192546;189126;190359;188210
