"Ricostruzione della popolazione intercensuaria - Popolazione al 1° Gennaio per età"
"Tutte le cittadinanze - Ripartizione: Centro"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Età;Totale
0;91636;97186;99066;103561;102574;105269;106011;111046;106880;105502
1;92765;92701;97894;99420;103597;102915;105787;106833;109805;106313
2;91896;93713;93804;98233;100005;103741;103655;106019;107057;108500
3;90857;92654;94805;94702;98845;100539;104152;104190;106271;107122
4;90314;91833;93514;95627;95607;99287;101413;104375;104342;106102
5;90678;91269;92954;94206;96715;96604;100206;102093;104352;104375
6;91185;91592;92308;93705;95131;97766;98145;101050;102493;104180
7;90948;92007;92546;93079;94869;95820;99328;99454;101484;102627
8;93497;91899;92929;93291;94345;95733;97168;100669;100378;101697
9;97646;94417;92910;93714;94400;95107;97330;98367;101710;101179
10;97434;98445;95286;93851;94765;95262;96675;98734;99165;102514
11;99179;98039;99280;96195;94913;95657;96755;98078;99776;99787
12;96621;99752;98704;99992;97302;95735;97021;98048;99069;100505
13;97566;97093;100286;99454;101017;98090;97242;98222;98985;99818
14;93505;98124;97544;100875;100298;101850;99478;98691;99142;99701
15;95950;93894;98727;98134;101723;100830;103155;100713;99749;99916
16;100175;96044;94372;99322;98933;102406;101933;104430;101657;100564
17;100689;100324;96241;94837;100229;99632;103540;103077;105505;102528
18;104869;101074;100796;97130;96134;101309;101421;105172;104661;106832
19;108405;105101;101990;101514;97902;97343;103716;103783;107097;106379
20;110941;108631;106355;102913;102199;98537;100416;106496;106029;108916
21;113852;111012;110162;107609;103643;102965;101513;103714;109102;108284
22;119771;114126;113101;111888;108523;104693;106502;105083;106545;111732
23;127512;120260;116872;115381;112939;109601;108609;110377;108274;109553
24;133221;128359;123533;119606;116604;113977;113397;112672;113400;111043
25;141592;134351;132241;126737;121036;117815;118065;117453;115932;116500
26;152887;142885;138356;135955;128572;122208;122058;122216;120549;119127
27;160464;154108;147144;142252;138062;130085;126845;125945;125132;123328
28;163645;162021;158561;151561;144795;139958;134649;131235;128722;128164
29;166906;165396;166640;162913;153957;146783;144597;138505;133774;131127
30;170793;168664;170039;171114;165459;155879;151394;148658;140791;136035
31;169773;172447;172600;173852;173463;166761;160200;154795;150781;142801
32;174858;171201;175890;176048;175523;174767;170379;163110;156410;152756
33;171639;176553;174541;179136;177873;176727;178355;173053;164554;158153
34;173552;173495;179780;177672;180502;179022;179972;181066;174175;165891
35;179929;175060;176783;182377;178942;181432;181986;181963;182196;175188
36;181760;181597;178425;179800;183788;180156;184537;184475;183337;183360
37;184716;182998;184103;181104;181268;184720;182897;186583;185694;184410
