"Ricostruzione della popolazione intercensuaria - Popolazione al 1° Gennaio per età"
"Tutte le cittadinanze - Ripartizione: Sud"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Età;Totale
0;142961;141215;141712;142110;137126;135769;135736;134498;132459;129650
1;144644;142712;140872;141396;141505;136595;135695;134854;133662;131168
2;146759;144772;142924;140802;141273;141150;136774;135414;134588;133203
3;144895;146415;144779;142977;140563;141126;141180;136470;135333;134313
4;144755;144940;146429;145143;143273;140450;141590;140995;136640;135325
5;148887;144822;145114;146649;145298;143313;140896;141606;141014;136777
6;150979;148783;145168;145375;146578;145434;143853;140931;141839;141047
7;154172;150923;149065;145611;145574;146473;146136;144233;141234;142044
8;160874;154102;151048;149251;145959;145770;146799;146517;144699;141385
9;169852;160909;154351;151191;149456;146135;146413;146823;147112;145166
10;171726;169829;161101;154636;151446;149557;146830;146854;147081;147662
11;173437;171416;169901;161406;155037;151528;150080;147333;147490;147311
12;173081;173156;171340;170178;161645;155231;152064;150445;147941;148142
13;174945;172873;173023;171226;170337;161822;155801;152391;150900;148512
14;170209;174902;172845;173024;171174;170334;162352;156208;152899;151380
15;174846;170301;175009;172883;172919;171012;170755;162824;156778;153292
16;179004;174469;170559;175295;172925;172777;171260;171076;163341;157341
17;183445;178604;174314;170988;175507;172923;173100;171397;171572;163913
18;186571;183076;178392;174062;171425;175669;173528;173476;171838;172251
19;194015;185635;182725;177747;173431;171338;176425;173744;173861;172319
20;194265;192464;184976;181927;176757;172382;172031;176588;173835;173909
21;196258;192208;191704;183881;180886;175546;172702;172230;176970;174083
22;198955;193780;191106;190434;182468;179537;175949;172512;172657;177271
23;201968;196741;192906;189660;188734;180918;179787;175561;172320;173246
24;204680;199729;195917;191455;187493;186360;180905;179291;174975;172157
25;211105;202439;199278;194700;189027;184978;185832;179680;178496;174443
26;216193;208993;202248;198255;192692;186149;184044;184073;178472;177762
27;219461;213952;209125;201209;196293;190062;185137;181951;182259;177339
28;214499;217848;214218;208383;199510;193925;189710;183377;180175;180662
29;213740;212595;218122;213150;206558;197457;193690;188077;181627;178473
30;215909;212075;213251;217613;211179;204460;197816;192487;186874;179954
31;211335;214018;212059;212070;215593;208770;204429;196400;191041;185288
32;215638;209182;213333;210377;209441;213082;208192;202604;194818;189477
33;212692;214087;209055;212118;208292;207539;212879;206441;201544;193577
34;214420;211579;214364;208066;210487;206664;207560;211673;205531;200944
35;218687;213452;211936;213824;206900;209134;206881;206813;211115;204804
36;219059;218378;214332;212442;213522;206407;210034;206870;206886;211152
37;223050;218469;219058;214761;212015;212817;207219;210163;207039;206893
38;210765;222432;218924;219251;214402;211462;213636;207147;210034;207032
39;206898;210057;223109;219156;218770;214075;212725;213981;207442;210061
40;204773;206340;210595;223512;218729;218258;215236;213112;214255;207691
41;198963;204059;206905;210761;223235;218182;218819;215707;213676;214641
42;194765;198383;204508;207138;210368;222758;218774;218913;216251;214209
43;184763;194234;198864;204606;206719;209775;223559;218894;218961;216901
44;184320;184393;194776;199054;204047;206041;210387;223805;218983;219212
45;181300;184113;184887;195065;198654;203332;206396;210416;224086;219301
46;182588;180889;184748;185226;194613;198147;203740;206384;210510;224314
47;180575;182032;181200;185136;184890;194086;198425;203697;206295;210567
48;170133;180054;182214;181268;184887;184476;194490;198430;203651;206415
49;167442;169682;180263;182117;180868;184531;184808;194495;198276;203587
50;170460;166832;169829;180215;181597;180282;184954;184774;194349;198128
51;175799;169748;166745;169800;179627;180989;180451;185060;184779;194197
52;175692;175049;169473;166371;169234;179036;181178;180281;185054;184723
53;181763;175145;174784;169046;165667;168628;178952;180892;180083;185050
54;173755;181167;174897;174332;168279;164924;168496;178658;180450;179789
55;172705;173286;180964;174541;173527;167418;164449;168105;178159;180012
56;143814;172178;173110;180562;173811;172683;166795;163804;167542;177657
57;131596;143126;171733;172791;179949;173163;172008;166101;163071;167109
58;137125;131073;142442;171253;172188;179161;172644;171238;165190;162395
59;136828;136360;130480;141719;170498;171523;178520;171931;170347;164448
60;133749;136070;135743;129925;140856;169660;171041;177861;171166;169409
61;150059;132786;135151;134982;129118;139897;168859;170330;176989;170373
62;149825;149025;131891;134283;133989;128230;138909;168090;169387;176043
63;141326;148739;147825;130956;133211;133030;127423;137809;167139;168456
64;137099;140244;147631;146662;129760;131961;131891;126547;136645;166092
