"Ricostruzione della popolazione intercensuaria - Popolazione al 1° Gennaio per età"
"Tutte le cittadinanze - Ripartizione: Isole"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Età;Totale
0;62830;63805;64792;64227;63378;62484;61762;62279;61309;59893
1;63475;62832;63682;64575;64010;63242;62392;61436;61896;60755
2;65410;63477;63029;63638;64359;63861;63226;62192;61316;61584
3;63697;65309;63606;63212;63624;64213;63829;63179;62141;61188
4;64508;63759;65325;63741;63420;63609;64239;63847;63157;62100
5;66491;64534;63935;65330;64053;63618;63668;64224;63893;63167
6;68485;66563;64798;64129;65354;64256;63968;63709;64215;63880
7;70210;68433;66721;65086;64375;65467;64589;64267;63759;64155
8;73363;70194;68443;66804;65301;64552;65604;64911;64581;63835
9;77721;73405;70340;68526;66985;65517;64911;65765;65212;64841
10;79153;77702;73487;70512;68680;67118;65860;65202;65945;65504
11;80285;78947;77713;73671;70634;68799;67446;66222;65526;66109
12;79671;80140;78776;77800;73857;70769;69005;67756;66584;65881
13;80097;79527;80024;78670;77867;73985;71038;69214;68037;66956
14;77880;80067;79473;79988;78543;77933;74323;71314;69427;68319
15;80637;77897;80034;79476;80039;78493;78144;74609;71611;69649
16;82277;80404;78002;80099;79492;79921;78563;78342;74850;71907
17;83859;82027;80300;78209;80237;79481;80033;78662;78586;75187
18;84347;83544;81856;80047;78347;80338;79704;80254;78868;78917
19;88665;83934;83304;81496;79796;78402;80562;80004;80580;79019
20;89310;87833;83626;82942;81128;79451;78840;80756;80137;80628
21;90749;88287;87300;83230;82609;80675;79451;79272;80973;80369
22;90501;89676;87751;86609;82757;82060;80901;79553;79626;81240
23;92720;89526;89228;86864;85942;82253;82194;80892;79573;79951
24;93438;91762;89261;88429;86113;85160;82303;82243;80820;79641
25;97383;92529;91610;88453;87675;85246;84911;82141;82094;80830
26;100295;96459;92502;90988;87784;86760;85029;84492;81720;82045
27;102727;99226;96314;91974;90297;87065;86643;84570;84032;81515
28;101274;101976;99256;95886;91541;89774;87163;86304;83992;83735
29;100814;100404;101997;98701;95517;90925;89871;86825;85787;83471
30;102364;100104;100505;101562;98352;95056;91226;89965;86514;85570
31;99877;101538;100148;99975;101047;97790;95226;90929;89786;86272
32;103225;99156;101356;99499;99316;100396;97873;94790;90687;89680
33;100128;102549;99183;100870;99097;98943;100678;97578;94744;90810
34;100725;99831;102576;98888;100624;98889;99276;100680;97638;94951
