Ricostruzione della popolazione intercensuaria - Popolazione al 1 Gennaio per età e sesso
Ripartizione: Italia Nord-Occidentale  

Età\Anno,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
,MASCHI
0,58172,63569,61859,61245,61590,63765,64750,65309,66086,67994,
1,59791,58808,63468,61898,61359,61862,63806,64390,65183,66225,
2,59238,60183,59085,63472,62029,61601,62040,63937,64228,65129,
3,60162,59504,60529,59513,63669,62288,61750,62264,64024,64071,
4,58197,60553,59663,60837,60003,63887,62458,61954,62452,64123,
5,58674,58354,60730,59855,61238,60862,64038,62679,62113,62674,
6,61154,59018,58486,60973,60251,61940,61639,64221,62873,62258,
7,61782,61363,59170,58674,61310,60814,62611,62533,64449,62998,
8,64590,62011,61519,59386,58963,61880,61370,63311,63360,64579,
9,66714,64856,62154,61724,59703,59419,62435,61978,64006,64152,
10,67748,66959,65005,62352,62016,60207,59915,62993,62590,64640,
11,69401,68128,67103,65177,62692,62460,60667,60384,63631,63130,
12,72386,69824,68255,67324,65430,63140,62934,61137,60831,64203,
13,79246,72618,70151,68446,67607,65895,63599,63440,61667,61262,
14,84761,79449,72746,70341,68745,68069,66367,64119,63909,62241,
15,89969,84899,79559,72950,70574,69133,68560,66894,64591,64416,
16,99214,90121,84957,79701,73215,71006,69570,69124,67391,65093,
17,104694,99319,90200,85072,79918,73640,71454,70078,69636,67893,
18,107230,104824,99405,90368,85260,80281,74108,71935,70666,70226,
19,110773,107492,104989,99536,90555,85629,80677,74599,72495,71324,
20,114442,111377,107870,105362,100021,91235,86219,81328,75432,73297,
21,114636,115570,112187,108598,106305,100894,92195,87016,82334,76558,
22,120147,115831,116448,113181,109813,107383,101969,93300,88188,83567,
23,121275,121189,116766,117105,114026,110857,108406,103175,94628,89411,
24,123066,122105,121916,117305,117567,114878,111651,109448,104404,95825,
25,129411,123683,122567,122231,117736,118273,115525,112536,110520,105540,
26,130127,129904,123899,122897,122674,118435,118651,116371,113407,111553,
27,132340,130523,130045,124012,123114,123340,119041,119244,117137,114300,
28,123794,132537,130575,130151,124206,123732,123982,119605,119925,117954,
29,118536,124004,132378,130486,130220,124566,124173,124648,120269,120559,
30,116888,118767,123955,132184,130430,130670,124887,124518,125334,120921,
31,113059,116980,118703,123765,132158,130601,130874,125159,124931,125908,
32,111372,113080,116778,118499,123618,132142,130596,131097,125474,125346,
