Ricostruzione della popolazione intercensuaria - Popolazione al 1 Gennaio per età e sesso
Ripartizione: Italia Nord-Orientale    

Età\Anno,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
,MASCHI
0,41199,44080,42890,42699,43595,44992,46164,46991,47686,49649,
1,42240,41668,44234,43028,43001,44001,45338,46259,47242,48101,
2,41480,42617,41916,44400,43279,43323,44400,45716,46417,47452,
3,41543,41697,42893,42264,44604,43607,43707,44812,46123,46619,
4,39626,41841,41881,43166,42718,44934,43950,44059,45237,46439,
5,40360,39801,42089,42114,43521,43378,45238,44308,44445,45568,
6,42835,40603,39988,42343,42412,44059,43969,45682,44713,44817,
7,43021,43015,40794,40168,42629,42852,44609,44654,46028,45088,
8,44176,43218,43219,40987,40445,43049,43312,45182,45377,46444,
9,45205,44417,43396,43403,41284,40795,43469,43828,45823,46140,
10,46727,45431,44632,43574,43705,41680,41197,43970,44354,46410,
11,48223,46887,45662,44838,43866,44071,42130,41646,44445,44936,
12,50711,48373,47132,45902,45108,44267,44481,42624,42083,44925,
13,55364,50911,48594,47380,46185,45480,44635,44928,43102,42495,
14,58456,55503,51124,48803,47690,46628,45901,45066,45392,43583,
15,62756,58594,55714,51375,49119,48130,47087,46318,45536,45850,
16,67827,62924,58779,55933,51688,49563,48580,47575,46788,46011,
17,74103,67928,63076,58905,56161,52136,50028,49039,48109,47346,
18,74412,74147,68074,63246,59136,56553,52603,50529,49581,48726,
19,77327,74607,74319,68329,63529,59569,56943,53112,51220,50217,
20,80165,77657,74987,74603,68745,64147,60112,57544,53945,52085,
21,80042,80554,78154,75492,75088,69443,64928,60902,58543,55085,
22,83649,80416,81029,78596,76049,75943,70330,65876,62065,59829,
23,83501,84098,81041,81538,79305,76986,76930,71452,67254,63457,
24,85092,83922,84717,81638,82295,80351,78058,78056,72882,68677,
25,88951,85522,84460,85259,82325,83144,81409,79251,79551,74441,
26,89977,89216,86021,85034,85972,83350,84112,82672,80715,80929,
27,92035,90271,89625,86421,85706,86959,84355,85188,83992,82199,
28,87118,92161,90608,89971,86914,86608,87897,85468,86373,85385,
29,83763,87221,92428,90863,90433,87650,87419,88927,86579,87530,
30,83512,83855,87348,92602,91217,91070,88376,88356,90023,87653,
31,79869,83625,83999,87496,92894,91761,91733,89150,89418,91061,
32,79429,79905,83813,84157,87826,93350,92341,92504,89995,90356,
33,74857,79425,80024,83920,84353,88171,93727,92955,93212,90697,
34,74624,74868,79473,80072,84043,84760,88569,94184,93604,93828,
35,74014,74584,74962,79482,80204,84248,85154,88978,94633,94180,
36,71680,74003,74569,74993,79511,80478,84507,85597,89456,95048,
37,70861,71628,74012,74532,75114,79727,80765,84784,86048,89887,
38,69404,70851,71644,73970,74561,75294,79921,81028,85141,86504,
39,68649,69332,70801,71629,74015,74639,75459,80088,81353,85400,
40,69109,68603,69314,70813,71590,74123,74704,75685,80256,81673,
41,72249,69003,68570,69247,70818,71681,74231,74785,75834,80494,
42,73020,72173,68957,68557,69226,70820,71696,74307,74862,76068,
43,77198,72886,72070,68815,68555,69198,70851,71695,74414,74941,
44,77063,77043,72792,71922,68750,68535,69160,70857,71755,74505,
45,82235,76843,76887,72688,71829,68650,68480,69145,70858,71817,
46,57184,82029,76644,76678,72513,71797,68548,68440,69101,70886,
47,66796,57023,81796,76409,76508,72395,71683,68440,68406,69030,
48,68080,66552,56925,81484,76189,76301,72259,71563,68353,68334,
49,67249,67800,66340,56722,81211,75951,76087,72126,71460,68228,
50,69033,66990,67555,66118,56497,80926,75708,75796,71970,71351,
51,72961,68747,66676,67277,65855,56324,80647,75406,75613,71723,
52,73001,72636,68404,66374,66995,65572,56157,80283,75114,75313,
53,72005,72595,72272,68001,66090,66740,65311,55991,79888,74772,
54,66344,71587,72218,71856,67667,65714,66397,64982,55767,79488,
55,61613,65908,71125,71765,71472,67317,65398,66063,64634,55517,
56,64583,61182,65462,70630,71233,71056,66900,65021,65721,64219,
57,63236,64083,60712,64889,70114,70793,70627,66483,64623,65356,
58,60919,62610,63556,60211,64410,69584,70281,70107,66014,64225,
59,59486,60293,61989,62978,59711,63834,69033,69742,69558,65552,
60,59937,58721,59602,61325,62343,59154,63243,68480,69097,69021,
61,62102,59132,58018,58927,60594,61684,58487,62581,67843,68520,
62,58051,61192,58389,57327,58160,59822,60972,57823,61849,67137,
63,58009,57106,60254,57551,56567,57443,59063,60230,57154,61131,
64,58251,56964,56119,59205,56647,55724,56612,58241,59446,56450,
65,55596,57088,55854,55017,58097,55690,54840,55752,57443,58568,
66,55628,54339,55874,54696,53890,56912,54679,53871,54860,56552,
67,53041,54237,53008,54523,53448,52727,55739,53611,52905,53939,
68,52995,51578,52848,51659,53135,52159,51563,54509,52441,51810,
69,49326,51515,50039,51399,50230,51699,50809,50298,53303,51318,
70,48544,47768,49996,48533,49848,48749,50276,49316,49055,52062,
71,46837,46897,46192,48392,46968,48275,47124,48768,47846,47838,
72,29860,45015,45190,44478,46710,45326,46614,45395,47144,46379,
73,20496,28627,43236,43438,42817,44950,43688,44824,43734,45536,
74,20867,19614,27344,41331,41627,41072,43162,41979,43052,42108,
75,25466,19843,18718,26058,39416,39812,39305,41214,40172,41226,
76,31342,24085,18787,17731,24745,37447,37835,37443,39256,38217,
77,31571,29559,22626,17706,16788,23359,35426,35858,35520,37252,
78,29952,29629,27627,21139,16721,15773,21998,33395,33789,33671,
79,28303,27889,27579,25762,19727,15618,14749,20585,31335,31762,
80,24679,26180,25793,25463,23829,18307,14456,13665,19160,29236,
81,21270,22650,23977,23737,23517,21955,16879,13333,12627,17745,
82,17739,19272,20533,21844,21680,21453,20041,15350,12169,11626,
83,15115,15947,17351,18495,19748,19624,19505,18152,13939,11107,
84,12146,13443,14163,15461,16545,17731,17590,17425,16263,12550,
85,9882,10581,11728,12389,13662,14668,15717,15540,15381,14396,
86,7819,8584,9115,10161,10833,11926,12851,13734,13575,13472,
87,6275,6681,7295,7753,8721,9343,10271,11061,11887,11820,
88,4794,5262,5566,6142,6546,7384,7917,8687,9436,10075,
89,3939,3941,4358,4620,5074,5434,6105,6579,7238,7933,
90,2853,3160,3191,3521,3762,4121,4416,4956,5371,6069,
91,2053,2293,2535,2528,2866,3045,3242,3496,3935,4340,
92,1499,1622,1766,1914,1964,2215,2374,2517,2720,3092,
93,981,1123,1220,1345,1465,1534,1659,1807,1961,2108,
94,725,733,816,932,988,1087,1145,1175,1330,1468,
95,516,526,506,589,680,745,807,819,832,995,
96,327,376,383,375,429,489,548,583,584,599,
97,198,221,256,270,249,295,330,389,394,415,
98,132,136,159,163,182,149,186,221,264,262,
99,77,89,87,108,99,125,102,122,149,208,
100 e più,127,130,126,133,138,144,157,151,149,172,
TOT,5021467,5021710,5022609,5022699,5028933,5043626,5060483,5080110,5105292,5134724,
,FEMMINE
0,39487,41929,40700,40302,40455,42524,43731,44295,45651,47094,
1,40227,39831,42052,40870,40590,40847,42870,43874,44602,46034,
2,39634,40540,40151,42205,41067,40988,41201,43222,44167,44856,
3,39367,39803,40710,40484,42501,41453,41301,41643,43618,44393,
4,37649,39623,40017,40978,40882,42834,41755,41635,42003,43966,
5,38503,37816,39816,40246,41341,41431,43131,42136,41980,42364,
6,40690,38721,37984,40014,40569,41790,41971,43522,42456,42367,
7,40796,40847,38909,38175,40308,40980,42266,42611,43898,42813,
8,41995,41034,41037,39103,38396,40687,41430,42815,43255,44277,
9,43832,42163,41199,41235,39379,38716,41079,41909,43400,43913,
10,44621,44020,42323,41346,41491,39775,39063,41525,42345,43980,
