Ricostruzione della popolazione intercensuaria - Popolazione al 1 Gennaio per età e sesso
Ripartizione: Italia Centrale          

Età\Anno,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
,MASCHI
0,44653,49272,47964,46508,46001,46326,46749,46736,48211,47861,
1,45430,45384,49384,47924,46504,46164,46376,46657,46858,47875,
2,45371,46218,45694,49460,47940,46545,46314,46400,46479,46884,
3,46182,45898,46483,46001,49508,47981,46593,46461,46429,46474,
4,44788,46671,46130,46849,46423,49580,47862,46569,46610,46507,
5,45463,45204,46902,46376,47235,46987,49657,47895,46622,46825,
6,47584,45880,45409,47161,46685,47842,47573,49775,47934,46701,
7,48406,47934,46121,45591,47447,47194,48415,48143,49869,48020,
8,50685,48750,48109,46344,45830,47887,47668,49029,48777,50043,
9,51780,51047,48967,48354,46622,46147,48321,48131,49691,49425,
10,53564,52172,51259,49177,48618,47022,46474,48698,48669,50406,
11,54424,53869,52403,51469,49433,49034,47447,46828,49150,49225,
12,57626,54708,54053,52613,51714,49789,49454,47887,47205,49620,
13,62224,57930,54880,54198,52866,52032,50190,49866,48374,47636,
14,65130,62406,58073,55071,54401,53283,52396,50583,50311,48839,
15,68796,65282,62509,58234,55321,54700,53728,52762,50971,50774,
16,73572,68973,65371,62611,58446,55667,55033,54167,53177,51391,
17,77850,73687,69084,65443,62768,58751,56024,55369,54611,53612,
18,79426,77971,73780,69200,65544,62965,59072,56428,55800,55172,
19,81312,79561,78068,73866,69282,65702,63224,59357,56872,56282,
20,83900,81550,79660,78185,74003,69510,65936,63490,59791,57443,
21,83137,84102,81641,79749,78244,74332,69706,66170,63842,60319,
22,85209,83428,84076,81577,79723,78434,74597,69921,66384,64356,
23,84212,85602,83485,84126,81576,79847,78552,74828,70079,66788,
24,85094,84470,85706,83496,84183,81680,80108,78741,75150,70608,
25,89440,85465,84533,85805,83587,84239,81869,80312,79070,75900,
26,90515,89601,85619,84574,85864,83760,84356,82052,80731,79685,
27,92587,90685,89729,85674,84627,86018,83914,84496,82322,81274,
28,86427,92747,90762,89658,85679,84658,86129,84100,84679,82658,
29,83859,86633,92739,90730,89623,85757,84639,86248,84396,85017,
30,83977,84016,86632,92661,90655,89484,85773,84685,86423,84791,
31,79973,84014,84018,86617,92487,90568,89576,85762,84809,86836,
32,78746,80154,83967,83866,86456,92305,90529,89410,85840,85167,
33,75993,78788,80175,83784,83842,86373,92215,90439,89410,86008,
34,75410,75986,78771,80104,83656,83821,86364,92057,90470,89571,
35,74985,75379,75898,78619,80050,83447,83743,86377,91953,90604,
36,74077,74973,75264,75734,78517,79980,83276,83698,86417,91993,
37,73208,74039,74950,75078,75593,78410,79918,83059,83657,86541,
38,70783,73093,73985,74771,74898,75499,78347,79869,82917,83720,
39,70491,70734,73022,73765,74627,74647,75388,78245,79843,82901,
40,70995,70399,70623,72808,73635,74433,74376,75267,78151,79881,
41,73802,70923,70290,70444,72562,73368,74330,74124,75142,78144,
42,74990,73723,70800,70066,70299,72346,73205,74201,73894,75037,
43,80454,74910,73585,70627,69977,70102,72084,72967,74024,73773,
44,80095,80257,74732,73370,70429,69759,69934,71810,72792,73901,
45,79713,79876,80061,74480,73178,70188,69535,69656,71554,72614,
46,63412,79411,79627,79718,74245,72864,69916,69333,69396,71331,
47,64272,63226,79146,79260,79389,74018,72617,69653,69079,69155,
48,67239,64051,63004,78729,79006,78996,73717,72357,69392,68887,
49,65737,67074,63780,62730,78291,78553,78557,73409,72055,69206,
50,67222,65491,66752,63461,62476,77835,78082,78161,73081,71746,
51,75194,66981,65112,66373,63144,62110,77268,77537,77766,72810,
52,74719,74844,66620,64726,66013,62709,61745,76687,77051,77364,
53,75294,74389,74440,66243,64349,65626,62266,61375,76109,76554,
54,69555,74876,73909,73997,65838,63896,65174,61809,60974,75588,
55,66085,69153,74401,73474,73523,65358,63294,64667,61305,60582,
56,68442,65588,68615,73893,72960,72969,64846,62778,64188,60805,
57,66983,67948,64993,68083,73288,72467,72352,64271,62199,63650,
58,66157,66390,67350,64448,67422,72631,71770,71710,63723,61623,
59,63597,65489,65690,66783,63856,66735,71952,71080,71063,63133,
60,66474,62863,64749,65007,66121,63193,65962,71205,70396,70386,
61,69072,65619,62069,63937,64176,65414,62464,65220,70397,69667,
62,62936,68062,64729,61203,63038,63308,64589,61677,64371,69619,
63,62824,62007,66976,63814,60318,62138,62354,63737,60867,63558,
64,62738,61712,60963,65847,62831,59343,61159,61416,62821,60006,
65,60415,61550,60512,59859,64609,61720,58259,60077,60396,61873,
66,59983,59070,60252,59265,58624,63389,60582,57143,59030,59395,
67,57978,58557,57667,58791,57974,57368,61986,59340,56018,57924,
68,56971,56425,57062,56234,57224,56562,56071,60511,58068,54835,
69,54463,55358,54904,55457,54627,55778,55081,54710,59012,56827,
70,53869,52763,53634,53276,53832,52937,54164,53513,53306,57546,
71,52228,52106,51013,51840,51538,52149,51184,52387,51901,51827,
72,32104,50283,50242,49244,50006,49757,50309,49334,50634,50219,
73,23448,30830,48268,48358,47327,48098,47849,48309,47528,48854,
74,23577,22452,29448,46186,46325,45326,46127,45773,46294,45616,
75,28656,22480,21331,28072,44160,44281,43171,44053,43609,44309,
76,34263,27162,21298,20217,26672,41964,42092,40930,41897,41574,
77,33415,32331,25604,20081,19113,25255,39630,39712,38658,39787,
78,30907,31292,30305,24014,18859,17997,23807,37014,37378,36480,
79,29507,28825,29108,28334,22380,17542,16817,22317,34542,35063,
80,24900,27319,26617,26897,26192,20797,16273,15552,20737,32132,
81,23372,22800,24958,24435,24703,24069,19131,14967,14353,19156,
82,18662,21253,20807,22690,22278,22563,21999,17433,13628,13233,
83,16044,16770,19029,18781,20566,20197,20453,19936,15652,12410,
84,12690,14096,14837,16880,16825,18473,18071,18201,17816,14077,
85,10798,11111,12267,12963,14862,14857,16308,15957,16097,15769,
86,8887,9327,9506,10557,11189,12981,13023,14161,13955,14039,
87,6878,7546,7833,8115,9034,9530,11119,11133,12127,12035,
88,5273,5768,6320,6542,6783,7556,8028,9349,9459,10346,
89,4384,4348,4681,5260,5417,5581,6221,6575,7821,7984,
90,3128,3523,3529,3759,4288,4318,4551,5056,5342,6468,
91,2471,2480,2779,2738,2956,3451,3478,3594,4103,4263,
92,1676,1907,1880,2121,2108,2318,2638,2692,2795,3272,
93,1174,1254,1440,1426,1616,1613,1785,2040,2038,2133,
94,874,847,936,1104,1039,1219,1191,1320,1488,1533,
95,582,608,624,681,789,781,892,840,967,1075,
96,339,424,421,428,490,574,560,643,605,672,
97,229,238,274,289,294,316,372,379,448,410,
98,158,158,154,185,194,176,192,232,277,337,
99,105,111,98,102,123,125,101,123,169,203,
100 e più,136,151,145,152,156,151,136,137,157,197,
TOT,5278834,5283061,5278074,5269877,5262014,5256495,5250704,5243250,5240898,5244645,
,FEMMINE
0,42234,46700,45268,44248,43270,43906,44257,43928,45105,45212,
1,42895,42764,46734,45242,44279,43454,43995,44212,44012,44799,
2,42967,43551,43112,46822,45221,44231,43603,43964,43983,44019,
3,43908,43421,43843,43486,46899,45287,44234,43723,43970,43987,
