Ricostruzione della popolazione intercensuaria - Popolazione al 1 Gennaio per età e sesso
Ripartizione: Italia Meridionale       

Età\Anno,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
,MASCHI
0,81420,93027,88503,85173,81055,81726,79794,77382,76451,75501,
1,82291,81637,92389,87810,84106,80165,80071,77973,76276,75877,
2,85044,82812,82037,91941,87170,83169,79461,79078,76739,75421,
3,86211,85177,83110,82519,91357,86428,82234,78836,78115,75450,
4,85588,86333,85404,83509,83111,90584,85650,81420,78243,77267,
5,86236,85638,86582,85661,84251,84069,89823,84887,80619,77616,
6,89114,86359,85743,86753,85896,85012,85152,89074,84151,79765,
7,91714,89232,86572,85831,87016,86375,85957,86083,88298,83420,
8,93788,91787,89404,86755,85929,87412,87005,86683,86913,87576,
9,97007,93820,91927,89561,86958,86138,87946,87419,87411,87832,
10,99185,97075,93951,92082,89731,87382,86509,88379,87815,88235,
11,100851,99076,97265,94059,92200,90086,87899,86718,88725,88219,
12,104004,100785,99126,97441,94243,92485,90499,88305,86926,89171,
13,108516,103932,100775,99192,97650,94527,92892,90821,88646,87136,
14,111294,108373,103947,100809,99211,97938,94859,93084,91094,89077,
15,116981,111036,108214,103892,100872,99316,98411,95066,93320,91414,
16,120662,116626,110817,108032,103841,101056,99523,98650,95185,93562,
17,124228,120323,116299,110576,107800,103817,101224,99580,98868,95408,
18,122764,123625,119952,115924,110255,107533,103823,101277,99527,99055,
19,123464,121899,123018,119470,115459,109731,107138,103606,101124,99342,
20,124491,121930,120914,122089,118594,114511,109007,106386,102963,100677,
21,120978,122300,120466,119518,120600,117336,113276,107780,105111,102047,
22,122164,118877,120696,118874,117745,118830,115805,111587,106232,103648,
23,119538,120098,117183,119217,117119,116050,117038,113951,109716,104499,
24,119187,117765,118561,115824,117562,115305,114165,114977,111921,107814,
25,118964,117548,116432,117369,114316,115847,113371,112176,112891,109916,
26,117500,117714,116351,115182,116035,112646,114149,111411,110065,110858,
27,119543,116274,116718,115283,113977,114495,111024,112249,109414,108040,
28,110296,118465,115433,115854,114131,112493,112977,109278,110349,107505,
29,107973,109402,117671,114676,114904,112778,111189,111354,107444,108453,
30,105988,107058,108823,116917,113881,113745,111447,109788,109607,105749,
31,101994,105234,106521,108252,116094,112849,112540,110042,108147,107932,
32,100177,101332,104702,106044,107613,115068,111854,111322,108439,106590,
33,94684,99740,100923,104197,105466,106925,114139,110744,109986,106999,
34,95140,94212,99364,100564,103695,104800,106261,113087,109550,108737,
35,93107,94697,93899,99026,100191,103119,104297,105516,112072,108491,
36,93664,92687,94407,93644,98643,99663,102590,103561,104734,110996,
37,92923,93348,92379,94148,93251,98142,99348,102056,102854,104074,
38,87203,92526,93053,92089,93791,92835,97830,98828,101442,102165,
39,86234,86897,92234,92795,91757,93327,92573,97345,98278,100843,
40,87209,85923,86679,91917,92526,91343,92944,92125,96884,97770,
