Ricostruzione della popolazione intercensuaria - Popolazione al 1 Gennaio per età e sesso
Ripartizione: Italia Insulare          

Età\Anno,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
,MASCHI
0,36812,43152,40659,38546,36881,36663,35947,34541,34358,33513,
1,38162,37092,42903,40251,38149,36536,35958,35022,33817,33608,
2,39480,38385,37392,42681,39866,37779,36260,35421,34458,33123,
3,39583,39638,38613,37610,42234,39414,37383,35978,35020,33823,
4,39523,39692,39785,38799,37988,41747,38940,37015,35732,34505,
5,40065,39588,39822,39912,39089,38361,41303,38555,36695,35437,
6,41015,40196,39643,39937,40043,39411,38939,40844,38157,36355,
7,42060,41124,40306,39719,40097,40161,39833,39428,40512,37752,
8,42678,42169,41230,40390,39745,40251,40340,40180,39809,40075,
9,44716,42737,42239,41306,40534,39774,40488,40486,40459,40250,
10,45978,44839,42776,42314,41415,40707,39801,40667,40597,40789,
11,46815,45960,44908,42868,42380,41530,40907,39825,40825,40684,
12,47779,46809,45969,44982,42927,42452,41677,41043,39819,40965,
13,49976,47745,46795,45999,45112,43001,42556,41747,41140,39830,
14,51166,49888,47733,46853,45977,45184,43063,42627,41801,41252,
15,54034,51024,49806,47663,46872,45957,45293,43073,42669,41882,
16,55637,53850,50912,49667,47569,46867,45949,45332,43098,42740,
17,57897,55422,53683,50780,49488,47440,46848,45899,45428,43095,
18,57679,57650,55209,53440,50516,49234,47298,46817,45843,45408,
19,57484,57190,57362,54965,53120,50179,49017,47122,46709,45689,
20,57947,56896,56800,56982,54518,52632,49725,48607,46803,46490,
21,56141,57097,56323,56252,56403,53928,52001,49192,48116,46330,
22,57142,55275,56537,55879,55568,55722,53318,51397,48541,47458,
23,54856,56374,54642,55920,55223,54773,55029,52597,50595,47784,
24,54902,54109,55825,54083,55247,54529,54003,54229,51836,49778,
25,54343,54148,53676,55396,53498,54480,53812,53160,53228,50956,
26,53394,53773,53736,53233,54859,52826,53776,52896,52135,52255,
27,54208,52899,53403,53366,52720,54265,52205,52925,52000,51229,
28,50718,53759,52597,53071,52936,52147,53613,51412,51991,51089,
29,50129,50363,53546,52298,52721,52410,51573,52896,50549,51109,
30,49190,49798,50197,53355,51922,52204,51881,50892,52214,49805,
31,48564,48846,49646,50084,52988,51604,51797,51323,50217,51549,
32,46723,48317,48678,49521,49895,52686,51272,51330,50791,49604,
33,45614,46469,48176,48574,49399,49722,52337,50878,50915,50255,
34,45107,45456,46410,48106,48427,49198,49538,51990,50476,50474,
35,44722,44935,45353,46357,47950,48294,49039,49258,51654,50091,
36,44895,44560,44845,45275,46246,47788,48164,48894,49007,51349,
37,44678,44772,44481,44726,45107,46129,47644,47959,48689,48725,
38,41845,44551,44682,44417,44546,44905,45984,47477,47737,48435,
39,41871,41743,44520,44594,44253,44357,44708,45844,47296,47542,
40,41693,41771,41664,44430,44478,44061,44208,44559,45682,47131,
41,43045,41572,41674,41566,44312,44328,43876,44007,44375,45467,
42,43000,42924,41448,41600,41428,44146,44160,43657,43778,44175,
43,44800,42855,42832,41365,41469,41261,43976,43990,43473,43540,
44,44047,44626,42745,42714,41256,41334,41101,43799,43759,43245,
45,41063,43847,44496,42615,42569,41127,41169,40933,43595,43572,
46,36231,40890,43659,44365,42461,42412,40990,41029,40768,43364,
47,35053,36091,40725,43501,44163,42269,42218,40848,40879,40590,
48,33821,34918,35981,40561,43298,43923,42055,42066,40690,40716,
49,34654,33670,34804,35841,40321,43030,43729,41857,41873,40523,
50,33906,34458,33535,34643,35660,40065,42747,43459,41633,41704,
51,38453,33726,34338,33386,34452,35453,39827,42464,43187,41368,
52,37454,38248,33580,34162,33207,34255,35272,39549,42176,42883,
53,35792,37246,38072,33435,33957,33032,34069,35065,39265,41878,
54,33124,35550,37050,37874,33281,33709,32832,33831,34852,38978,
55,33600,32899,35320,36831,37651,33098,33435,32638,33597,34656,
56,33702,33308,32655,35116,36639,37429,32913,33180,32422,33351,
57,34650,33483,33092,32411,34882,36450,37196,32690,32907,32165,
58,35030,34375,33250,32843,32127,34580,36196,36900,32427,32631,
59,32973,34679,34104,33003,32542,31795,34322,35949,36584,32183,
60,33227,32634,34332,33802,32721,32246,31498,33987,35689,36249,
61,35810,32811,32281,33999,33490,32452,31961,31178,33623,35345,
62,31942,35348,32422,31898,33609,33123,32122,31645,30812,33209,
63,32366,31460,34829,31968,31543,33193,32724,31780,31288,30411,
64,31310,31817,30967,34291,31496,31155,32749,32296,31393,30934,
65,31660,30696,31212,30459,33784,30993,30674,32261,31813,30975,
66,29460,30990,30039,30614,29922,33157,30483,30214,31757,31304,
67,30059,28770,30252,29321,29967,29301,32562,29902,29656,31191,
68,27668,29332,28020,29517,28526,29285,28629,31865,29272,29100,
69,26879,26902,28488,27193,28700,27714,28513,27913,31081,28649,
70,23812,26110,26099,27647,26441,27867,26885,27714,27216,30316,
71,23870,23023,25244,25307,26685,25573,27005,26010,26841,26476,
72,16032,23008,22159,24298,24456,25768,24758,26054,25092,25978,
73,12406,15418,22027,21308,23351,23527,24765,23776,25061,24169,
74,13136,11823,14747,21073,20411,22381,22508,23706,22739,24034,
75,15919,12494,11224,14080,20073,19517,21314,21491,22576,21783,
76,18037,15121,11798,10654,13376,19054,18578,20207,20400,21384,
77,16765,16991,14266,11130,10063,12679,17940,17623,19168,19311,
78,16885,15779,15880,13330,10466,9412,11869,16813,16598,18093,
79,15588,15686,14631,14788,12382,9747,8807,11060,15709,15514,
80,13199,14403,14450,13506,13682,11511,9026,8147,10220,14545,
81,12252,12027,13088,13190,12443,12552,10589,8278,7502,9482,
82,10148,11102,10810,11870,12050,11371,11420,9640,7546,6859,
83,8636,9052,9923,9731,10657,10937,10305,10337,8673,6810,
84,6880,7617,7953,8735,8628,9551,9782,9176,9214,7735,
85,5923,5992,6620,6940,7661,7611,8421,8603,8108,8149,
86,4846,5083,5118,5722,5999,6610,6635,7339,7452,7066,
87,3688,4024,4274,4347,4889,5095,5661,5643,6272,6489,
88,3096,3043,3294,3573,3609,4097,4287,4768,4781,5314,
89,2580,2565,2458,2691,2923,2975,3366,3553,3956,3958,
90,1815,2070,2064,1992,2190,2380,2407,2741,2889,3254,
91,1434,1461,1606,1628,1585,1757,1872,1880,2223,2310,
92,1074,1099,1093,1216,1279,1185,1347,1466,1478,1675,
93,835,812,854,807,893,990,903,1010,1122,1142,
94,529,584,589,647,591,663,719,647,741,846,
95,394,394,408,411,454,427,494,529,483,564,
96,208,274,271,283,283,341,311,360,357,351,
97,140,154,189,182,184,192,226,220,251,243,
98,85,97,91,128,139,118,124,141,152,171,
99,66,60,68,54,83,90,75,83,110,121,
100 e più,84,89,100,110,87,104,105,99,134,151,
TOT,3232362,3237641,3243080,3246873,3246352,3243705,3239929,3231403,3221106,3208862,
,FEMMINE
0,34663,40895,38822,36326,34760,34477,33675,32673,33208,31698,
1,36484,34853,40682,38533,35980,34500,33912,32861,32112,32520,
2,37356,36582,35146,40488,38181,35646,34180,33431,32396,31586,
3,37293,37455,36757,35385,40138,37702,35299,33932,33134,31774,
4,37536,37448,37593,36948,35761,39744,37290,34940,33733,32692,
5,37800,37599,37618,37695,37212,36175,39323,36937,34667,33465,
6,39214,37926,37664,37706,37821,37549,36729,38989,36614,34338,
7,40065,39283,38016,37746,37843,37969,37962,37214,38711,36196,
8,40670,40181,39390,38116,37781,38025,38170,38315,37638,38301,
9,42618,40741,40281,39483,38259,37834,38290,38382,38647,38044,
